状态序号,剩余演算次数,剩余放弃次数,剩余翻倍次数,已确定翻倍状态,铭牌0,铭牌1,铭牌2,铭牌3,铭牌4,手牌总数,战力点,最优决策,最优价值
1,1,0,0,未确定,0,0,0,0,0,0,0,抽取铭牌,88181.67
2,1,0,0,未确定,0,0,0,0,1,1,5,抽取铭牌,101643.81
3,1,0,0,未确定,0,0,0,0,2,2,10,不翻倍,160000.0
4,1,0,0,未确定,0,0,0,1,0,1,4,抽取铭牌,87431.52
5,1,0,0,未确定,0,0,0,1,1,2,9,不翻倍,100000.0
6,1,0,0,未确定,0,0,0,2,0,2,8,不翻倍,79197.72
7,1,0,0,未确定,0,0,1,0,0,1,3,抽取铭牌,82193.33
8,1,0,0,未确定,0,0,1,0,1,2,8,不翻倍,80209.57
9,1,0,0,未确定,0,0,1,1,0,2,7,不翻倍,74929.23
10,1,0,0,未确定,0,0,2,0,0,2,6,不翻倍,87474.25
11,1,0,0,未确定,0,1,0,0,0,1,2,抽取铭牌,82693.63
12,1,0,0,未确定,0,1,0,0,1,2,7,不翻倍,76422.79
13,1,0,0,未确定,0,1,0,1,0,2,6,不翻倍,88130.48
14,1,0,0,未确定,0,1,1,0,0,2,5,不翻倍,97080.34
15,1,0,0,未确定,0,2,0,0,0,2,4,不翻倍,77032.59
16,1,0,0,未确定,1,0,0,0,0,1,1,抽取铭牌,84703.7
17,1,0,0,未确定,1,0,0,0,1,2,6,不翻倍,92572.99
18,1,0,0,未确定,1,0,0,1,0,2,5,不翻倍,95680.0
19,1,0,0,未确定,1,0,1,0,0,2,4,不翻倍,77084.67
20,1,0,0,未确定,1,1,0,0,0,2,3,不翻倍,71661.77
21,1,0,0,未确定,2,0,0,0,0,2,2,不翻倍,76773.39
22,1,0,0,不翻倍,0,0,0,0,2,2,10,开始演算,160000.0
23,1,0,0,不翻倍,0,0,0,0,3,3,4,抽取铭牌,72176.92
24,1,0,0,不翻倍,0,0,0,0,4,4,9,开始演算,100000.0
25,1,0,0,不翻倍,0,0,0,0,5,5,3,开始演算,4000.0
26,1,0,0,不翻倍,0,0,0,1,1,2,9,开始演算,100000.0
27,1,0,0,不翻倍,0,0,0,1,2,3,3,抽取铭牌,65212.31
28,1,0,0,不翻倍,0,0,0,1,3,4,8,开始演算,60000.0
29,1,0,0,不翻倍,0,0,0,1,4,5,2,开始演算,2000.0
